name,address,phone,website,rating,reviews,hours,latitude,longitude,place_url,crawled_at,stt,chain
Circle K Viet Nam,"91 P. Nam Đồng, Nam Đồng, Đống Đa, Hà Nội, Vietnam",+84 24 3201 6133,https://www.circlek.com.vn/en/store-locator/,2.5,0,N/A,21.0109608,105.8202803,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@21.0109608,105.8202803,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135abe9309a69db:0x6e1dcff9bd390dd4!8m2!3d21.0127142!4d105.8326648!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11fmv985jc?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:00:22,11,Circle K
Circle K Viet Nam,"264 P. Bạch Mai, tổ 4, Hai Bà Trưng, Hà Nội, Vietnam",N/A,https://www.circlek.com.vn/en/store-locator/,2.6,0,N/A,21.0109608,105.8202803,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@21.0109608,105.8202803,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ad95e72ad20d:0x99b6fc9c60e1738c!8m2!3d21.0026629!4d105.8507951!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAZIBEWNvbnZlbmllbmNlX3N0b3JlqgFyCg0vZy8xMWM1OW5fcW5zCg0vZy8xMWgxNXh5d2N4CgkvbS8wMXh6OXYQASoMIghjaXJjbGUgayhCMh8QASIbcWqr8jXRYriLnZz2vGDBw15isZwc9iTC_xRKMhYQAiISY2lyY2xlIGsgaMOgIG7hu5lp4AEA!16s%2Fg%2F11s7wd84m7?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:00:49,12,Circle K
Circle K,"125 P. Hoàng Ngân, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",+84 24 3201 5169,https://www.circlek.com.vn/en/store-locator/,2.3,0,N/A,21.0097138,105.7883871,"https://www.google.com/maps/place/Circle+K/@21.0097138,105.7883871,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ade65ec8d081:0xcca8dfeee04fee4f!8m2!3d21.0097138!4d105.8058966!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAZIBEWNvbnZlbmllbmNlX3N0b3JlqgFyCg0vZy8xMWM1OW5fcW5zCg0vZy8xMWgxNXh5d2N4CgkvbS8wMXh6OXYQASoMIghjaXJjbGUgayhCMh8QASIbcWqr8jXRYriLnZz2vGDBw15isZwc9iTC_xRKMhYQAiISY2lyY2xlIGsgaMOgIG7hu5lp4AEA!16s%2Fg%2F11h7k492r_?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:01:07,13,Circle K
Circle K VietNam,"7 ngõ 34 P. Mai Anh Tuấn, Chợ Dừa, Đống Đa, Hà Nội, Vietnam",+84 24 3200 8093,https://www.circlek.com.vn/,3.0,0,N/A,21.0189776,105.8049981,"https://www.google.com/maps/place/Circle+K+VietNam/@21.0189776,105.8049981,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ab25731caa57:0x7af4be7ef5a2b8e6!8m2!3d21.0189776!4d105.8225076!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11gtympf13?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:01:24,14,Circle K
Circle K Viet Nam,"420 Đ. La Thành, Chợ Dừa, Đống Đa, Hà Nội, Vietnam",+84 24 7106 8123,https://www.circlek.com.vn/vi/he-thong-circle-k/,2.0,0,N/A,21.0229667,105.8044822,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@21.0229667,105.8044822,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135abdf57ad3415:0x53422720bfc6bac3!8m2!3d21.0229667!4d105.8219917!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11gsbcdxpy?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:01:41,15,Circle K
Circle K VietNam,"1A P. Hồ Đắc Di, Nam Đồng, Đống Đa, Hà Nội, Vietnam",+84 24 3998 3536,https://www.circlek.com.vn/vi/he-thong-circle-k/,2.5,0,N/A,21.0109608,105.8202803,"https://www.google.com/maps/place/Circle+K+VietNam/@21.0109608,105.8202803,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ab80473b9689:0xcb10a63a02bbdd6a!8m2!3d21.0110062!4d105.8305906!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11c2kj27ch?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:01:59,16,Circle K
Circle K Viet Nam,"8 Ng. 91 Đ. Nguyễn Chí Thanh, Thành Công, Ba Đình, Hà Nội, Vietnam",+84 24 3200 0624,https://circlek.com.vn/vi/he-thong-circle-k/,1.8,0,N/A,21.0203699,105.7917885,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@21.0203699,105.7917885,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ab4a9bbabd4d:0x76806d6d966dfabb!8m2!3d21.0203699!4d105.809298!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11fk1jvqs7?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:02:16,17,Circle K
Circle K Viet Nam,"144 P. Hồng Mai, Bạch Mai, Hai Bà Trưng, Hà Nội, Vietnam",+84 1900 3110,https://www.circlek.com.vn/en/store-locator/,2.2,0,N/A,20.9990079,105.8354105,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@20.9990079,105.8354105,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135adc24c158cff:0xd9f6b68e4e792b9!8m2!3d20.9990079!4d105.85292!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11rvlzdvyt?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:02:34,18,Circle K
Circle K Viet Nam,"68 P. Tôn Thất Tùng, Khương Thượng, Đống Đa, Hà Nội, Vietnam",+84 24 3201 6010,https://www.circlek.com.vn/vi/,1.9,0,N/A,21.0109608,105.8202802,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@21.0109608,105.8202802,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ad81333659db:0x37cbe4fc8bde2668!8m2!3d21.0016766!4d105.8293207!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAZIBEWNvbnZlbmllbmNlX3N0b3JlqgFyCg0vZy8xMWM1OW5fcW5zCg0vZy8xMWgxNXh5d2N4CgkvbS8wMXh6OXYQASoMIghjaXJjbGUgayhCMh8QASIbcWqr8jXRYriLnZz2vGDBw15isZwc9iTC_xRKMhYQAiISY2lyY2xlIGsgaMOgIG7hu5lp4AEA!16s%2Fg%2F11j1ymvh5q?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:02:51,19,Circle K
Circle K VietNam,"46 P. Lê Trọng Tấn, Khương Mai, Thanh Xuân, Hà Nội, Vietnam",+84 24 3200 6067,https://circlek.com.vn/,2.5,0,N/A,21.0109608,105.8202802,"https://www.google.com/maps/place/Circle+K+VietNam/@21.0109608,105.8202802,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ac8793f97cf1:0x394cc595a5226715!8m2!3d20.9997592!4d105.8278044!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11c2l8ytwn?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:03:09,20,Circle K
Circle K Láng,"Ngõ 848-850 Ng. 850 Đ. Láng, Láng Thượng, Đống Đa, Hà Nội, Vietnam",+84 24 3201 6033,https://www.circlek.com.vn/en/store-locator/,2.0,0,N/A,21.0195473,105.7849281,"https://www.google.com/maps/place/Circle+K+L%C3%A1ng/@21.0195473,105.7849281,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135abf45aefb50b:0x85f50b978eaabe9d!8m2!3d21.0195473!4d105.8024376!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11h_cmsxzf?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:03:26,21,Circle K
Circle K Viet Nam,"01 P. Lê Văn Thiêm, Nhân Chính, Thanh Xuân, Hà Nội, Vietnam",+84 24 3200 3753,https://www.circlek.com.vn/en/store-locator/,2.6,0,N/A,21.002956,105.7847693,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@21.002956,105.7847693,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ad61a8185339:0x5681fb235de53429!8m2!3d21.002956!4d105.8022788!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11h70glpzq?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:03:43,22,Circle K
Circle K Lê Văn Lương,"81 Đ. Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội, Vietnam",+84 1900 3110,https://www.circlek.com.vn/,1.6,0,N/A,21.0056059,105.7887633,"https://www.google.com/maps/place/Circle+K+L%C3%AA+V%C4%83n+L%C6%B0%C6%A1ng/@21.0056059,105.7887633,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135addd49f4d723:0x75ea0fb10c0e2189!8m2!3d21.0056059!4d105.8062728!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11v0dsf25h?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:04:01,23,Circle K
Circle K Viet Nam,"118 P. Tuệ Tĩnh, Nguyễn Du, Hai Bà Trưng, Hà Nội, Vietnam",+84 24 3201 6155,https://www.circlek.com.vn/en/store-locator/,1.9,0,N/A,21.0109608,105.8202803,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@21.0109608,105.8202803,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ab8398e9b019:0x8b4d76dbc73a5e8f!8m2!3d21.0154738!4d105.8474266!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11j0nfbb01?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:04:18,24,Circle K
